"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"June","2021","Lubricants & Greases","316.00","2023-05-29"
"May","2021","Lubricants & Greases","318.00","2023-05-29"
"April","2021","Lubricants & Greases","355.00","2023-05-29"
"March","2021","Lubricants & Greases","398.00","2023-05-29"
"February","2021","Lubricants & Greases","388.00","2023-05-29"
"January","2021","Lubricants & Greases","392.00","2023-05-29"
"December","2020","Lubricants & Greases","439.00","2023-05-29"
"November","2020","Lubricants & Greases","421.00","2023-05-29"
"October","2020","Lubricants & Greases","391.00","2023-05-29"
"September","2020","Lubricants & Greases","396.00","2023-05-29"
"August","2020","Lubricants & Greases","366.00","2023-05-29"
"July","2020","Lubricants & Greases","346.00","2023-05-29"
"June","2020","Lubricants & Greases","244.00","2023-05-29"
"May","2020","Lubricants & Greases","148.00","2023-05-29"
"April","2020","Lubricants & Greases","168.00","2023-05-29"
"January","2023","MS","2827.46","2023-05-29"
"December","2022","MS","2983.70","2023-05-29"
"November","2022","MS","2860.91","2023-05-29"
"October","2022","MS","2996.49","2023-05-29"
"September","2022","MS","2827.02","2023-05-29"
"August","2022","MS","3005.64","2023-05-29"
"July","2022","MS","2808.35","2023-05-29"
"June","2022","MS","2968.47","2023-05-29"
"May","2022","MS","3016.92","2023-05-29"
"April","2022","MS","2797.36","2023-05-29"
"March","2022","MS","2908.00","2023-05-29"
"February","2022","MS","2550.00","2023-05-29"
"January","2022","MS","2473.00","2023-05-29"
"December","2021","MS","2816.00","2023-05-29"
"November","2021","MS","2645.00","2023-05-29"
"October","2021","MS","2750.00","2023-05-29"
"September","2021","MS","2598.00","2023-05-29"
"August","2021","MS","2692.00","2023-05-29"
"July","2021","MS","2630.00","2023-05-29"
"June","2021","MS","2409.00","2023-05-29"
"May","2021","MS","1991.00","2023-05-29"
"April","2021","MS","2386.00","2023-05-29"
"March","2021","MS","2740.00","2023-05-29"
"February","2021","MS","2472.00","2023-05-29"
"January","2021","MS","2611.00","2023-05-29"
"December","2020","MS","2706.00","2023-05-29"
"November","2020","MS","2665.00","2023-05-29"
"October","2020","MS","2655.00","2023-05-29"
"September","2020","MS","2451.00","2023-05-29"
"August","2020","MS","2382.00","2023-05-29"
"July","2020","MS","2261.00","2023-05-29"
"June","2020","MS","2282.00","2023-05-29"
"May","2020","MS","1771.00","2023-05-29"
"April","2020","MS","973.00","2023-05-29"
"January","2023","Naphtha","1158.88","2023-05-29"
"December","2022","Naphtha","1039.61","2023-05-29"
"November","2022","Naphtha","931.29","2023-05-29"
"October","2022","Naphtha","860.54","2023-05-29"
"September","2022","Naphtha","1008.58","2023-05-29"
"August","2022","Naphtha","1088.62","2023-05-29"
"July","2022","Naphtha","1150.92","2023-05-29"
"June","2022","Naphtha","947.95","2023-05-29"
"May","2022","Naphtha","828.49","2023-05-29"
"April","2022","Naphtha","973.56","2023-05-29"
"March","2022","Naphtha","1132.00","2023-05-29"
"February","2022","Naphtha","1100.00","2023-05-29"
"January","2022","Naphtha","1196.00","2023-05-29"
"December","2021","Naphtha","1099.00","2023-05-29"
"November","2021","Naphtha","1066.00","2023-05-29"
"October","2021","Naphtha","1180.00","2023-05-29"
"September","2021","Naphtha","1016.00","2023-05-29"
"August","2021","Naphtha","920.00","2023-05-29"
"July","2021","Naphtha","1116.00","2023-05-29"
"June","2021","Naphtha","1088.00","2023-05-29"
"May","2021","Naphtha","1171.00","2023-05-29"
"April","2021","Naphtha","1164.00","2023-05-29"
"March","2021","Naphtha","1280.00","2023-05-29"
"February","2021","Naphtha","1217.00","2023-05-29"
"January","2021","Naphtha","1209.00","2023-05-29"
"December","2020","Naphtha","1212.00","2023-05-29"
"November","2020","Naphtha","1403.00","2023-05-29"
"October","2020","Naphtha","1346.00","2023-05-29"
"September","2020","Naphtha","1120.00","2023-05-29"
"August","2020","Naphtha","1075.00","2023-05-29"
"July","2020","Naphtha","1297.00","2023-05-29"
"June","2020","Naphtha","1218.00","2023-05-29"
"May","2020","Naphtha","993.00","2023-05-29"
"April","2020","Naphtha","730.00","2023-05-29"
"January","2023","Others","1104.31","2023-05-29"
"December","2022","Others","1339.64","2023-05-29"
"November","2022","Others","1127.79","2023-05-29"
